date,cases
2021-12-23,278578699
2021-12-24,279434799
2021-12-25,280116791
2021-12-26,280692270
2021-12-27,282033889
2021-12-28,283370260
2021-12-29,285075127
2021-12-30,287025253
2021-12-31,288728291
2022-01-01,289931428
2022-01-02,290849939
2022-01-03,293188320
2022-01-04,295801747
2022-01-05,298385756
2022-01-06,301054978
2022-01-07,304008616
2022-01-08,306145200
2022-01-09,308150282
2022-01-10,311401997
2022-01-11,314432404
2022-01-12,317879058
2022-01-13,321066163
2022-01-14,324382616
2022-01-15,326810379
2022-01-16,328981578
2022-01-17,331759391
2022-01-18,335523995
2022-01-19,339607276
2022-01-20,343341570
2022-01-21,347151687
2022-01-22,349801473
2022-01-23,352184811
2022-01-24,355817671
2022-01-25,359471485
2022-01-26,363233158
2022-01-27,366932890
2022-01-28,370611819
2022-01-29,373175361
2022-01-30,375352380
2022-01-31,379211855
2022-02-01,382341587
2022-02-02,385526232
2022-02-03,388720309
2022-02-04,391675874
2022-02-05,393779507
2022-02-06,395542316
2022-02-07,398516432
2022-02-08,401116122
2022-02-09,403549117
2022-02-10,406363391
2022-02-11,408788228
2022-02-12,410513339
2022-02-13,411919279
2022-02-14,413962163
2022-02-15,415832953
2022-02-16,418072759
2022-02-17,420135672
2022-02-18,422119106
2022-02-19,423596187
2022-02-20,424789720
2022-02-21,426495378
2022-02-22,428169102
2022-02-23,430086590
2022-02-24,431874501
2022-02-25,433528807
2022-02-26,434802795
2022-02-27,435854949
2022-02-28,437463827
2022-03-01,439062564
2022-03-02,440722439
2022-03-03,442497646
2022-03-04,444260070
2022-03-05,445550401
2022-03-06,446660147
2022-03-07,448401620
2022-03-08,449985919
2022-03-09,451976099
2022-03-10,453847080
2022-03-11,455719680
2022-03-12,457280387
2022-03-13,458418032
2022-03-14,460415942
2022-03-15,462225344
2022-03-16,464464205
2022-03-17,466542109
2022-03-18,468433636
2022-03-19,469913015
2022-03-20,470873843
2022-03-21,472753728
2022-03-22,474730951
2022-03-23,476534854
2022-03-24,478319055
2022-03-25,480078626
2022-03-26,481203035
2022-03-27,482053796
2022-03-28,483898093
2022-03-29,485649915
2022-03-30,487247590
2022-03-31,488810861
2022-04-01,490229883
2022-04-02,491102544
2022-04-03,491795689
2022-04-04,493029039
2022-04-05,494394436
2022-04-06,495614407
2022-04-07,496892754
2022-04-08,498067151
2022-04-09,498809406
2022-04-10,499371019
2022-04-11,500357346
2022-04-12,501476932
2022-04-13,502551958
2022-04-14,503514561
2022-04-15,504173546
2022-04-16,504728004
2022-04-17,505135766
2022-04-18,505593027
2022-04-19,506611148
2022-04-20,507572864
2022-04-21,508494564
2022-04-22,509326073
2022-04-23,509804848
2022-04-24,510170201
2022-04-25,510807207
2022-04-26,511586152
2022-04-27,512270545
2022-04-28,513029820
2022-04-29,513674263
2022-04-30,514028003
2022-05-01,514337424
2022-05-02,514784854
2022-05-03,515456909
2022-05-04,516084404
2022-05-05,516684038
2022-05-06,517314925
2022-05-07,517654258
2022-05-08,517933111
2022-05-09,518623538
2022-05-10,519264799
2022-05-11,519959508
2022-05-12,520612153
2022-05-13,521185114
2022-05-14,521623840
2022-05-15,521997492
2022-05-16,522587922
2022-05-17,523196288
2022-05-18,523956899
2022-05-19,524552967
2022-05-20,525179079
2022-05-21,525546242
2022-05-22,525862056
2022-05-23,526355204
2022-05-24,526949796
2022-05-25,527593755
2022-05-26,528096493
2022-05-27,528666149
2022-05-28,528995178
2022-05-29,529271873
2022-05-30,529616224
2022-05-31,530241569
2022-06-01,530939976
2022-06-02,531470716
2022-06-03,532014270
2022-06-04,532267351
2022-06-05,532530338
2022-06-06,532965247
2022-06-07,533576907
2022-06-08,534283486
2022-06-09,534848531
2022-06-10,535405294
2022-06-11,535689085
2022-06-12,535887333
2022-06-13,536415150
2022-06-14,537272203
2022-06-15,537994296
2022-06-16,538577138
2022-06-17,539110151
2022-06-18,539338742
2022-06-19,539607241
2022-06-20,540362445
2022-06-21,541178509
2022-06-22,541984328
2022-06-23,542767959
2022-06-24,543545293
2022-06-25,543862216
2022-06-26,544148980
2022-06-27,545021364
2022-06-28,545963319
2022-06-29,546896134
2022-06-30,547974317
2022-07-01,548925491
2022-07-02,549284928
2022-07-03,549643412
2022-07-04,550495502
2022-07-05,551700794
2022-07-06,552926114
2022-07-07,553979237
2022-07-08,554985885
2022-07-09,555489725
2022-07-10,555912593
2022-07-11,556965871
2022-07-12,558188894
2022-07-13,559615969
2022-07-14,560618337
2022-07-15,561620875
2022-07-16,562173878
2022-07-17,562633320
2022-07-18,563831363
2022-07-19,565376142
2022-07-20,566978238
2022-07-21,568132310
2022-07-22,569227609
2022-07-23,569864429
2022-07-24,570415520
2022-07-25,571389219
2022-07-26,572585879
2022-07-27,574012504
2022-07-28,575128637
2022-07-29,576504042
2022-07-30,577080293
2022-07-31,577625050
2022-08-01,578498268
2022-08-02,579688847
2022-08-03,580844327
2022-08-04,582298507
2022-08-05,583199840
2022-08-06,584378161
2022-08-07,584876085
2022-08-08,585692322
2022-08-09,586732558
2022-08-10,587759595
2022-08-11,588765069
2022-08-12,589518048
2022-08-13,590154612
2022-08-14,590615366
2022-08-15,591470649
2022-08-16,592553956
2022-08-17,593544473
2022-08-18,594489234
2022-08-19,595290702
2022-08-20,595865130
2022-08-21,596349664
2022-08-22,597060819
2022-08-23,597949972
2022-08-24,598834543
2022-08-25,599699548
2022-08-26,600401903
2022-08-27,600854582
2022-08-28,601260827
2022-08-29,601837965
2022-08-30,602585861
2022-08-31,603339040
2022-09-01,604018804
2022-09-02,604676287
2022-09-03,605052969
2022-09-04,605423358
2022-09-05,605881148
2022-09-06,606554997
2022-09-07,607171546
2022-09-08,607755506
2022-09-09,608281134
2022-09-10,608594366
2022-09-11,608908659
2022-09-12,609393741
2022-09-13,609942218
2022-09-14,610640243
2022-09-15,611251541
2022-09-16,611707437
2022-09-17,612002534
2022-09-18,612257111
2022-09-19,612673963
2022-09-20,613227572
2022-09-21,613745750
2022-09-22,614365390
2022-09-23,614883451
2022-09-24,615148616
2022-09-25,615371539
2022-09-26,615794219
2022-09-27,616393758
2022-09-28,616943716
2022-09-29,617587849
2022-09-30,618060372
2022-10-01,618301429
2022-10-02,618502138
2022-10-03,618822004
2022-10-04,619422193
2022-10-05,620005197
2022-10-06,620645800
2022-10-07,621221027
2022-10-08,621440044
2022-10-09,621658996
2022-10-10,622112629
2022-10-11,622802836
2022-10-12,623353219
2022-10-13,624016113
2022-10-14,624494008
2022-10-15,624712097
2022-10-16,624904267
2022-10-17,625380762
2022-10-18,626009472
2022-10-19,626536431
2022-10-20,627131819
2022-10-21,627563033
2022-10-22,627745374
2022-10-23,627906174
2022-10-24,628292158
2022-10-25,628887107
2022-10-26,629354131
2022-10-27,629825004
2022-10-28,630188852
2022-10-29,630387961
2022-10-30,630555274
2022-10-31,630855587
2022-11-01,631257223
2022-11-02,631605553
2022-11-03,632099160
2022-11-04,632543650
2022-11-05,632744972
2022-11-06,632931615
2022-11-07,633236212
2022-11-08,633687028
2022-11-09,634121053
2022-11-10,634581453
2022-11-11,635069827
2022-11-12,635312334
2022-11-13,635495843
2022-11-14,635842682
2022-11-15,636346431
2022-11-16,636832747
2022-11-17,637312096
2022-11-18,637942820
2022-11-19,638190175
2022-11-20,638412606
2022-11-21,638754188
2022-11-22,639328415
2022-11-23,639919189
2022-11-24,640339580
2022-11-25,641037771
2022-11-26,641308397
2022-11-27,641571858
2022-11-28,641977647
2022-11-29,642708342
2022-11-30,643244123
2022-12-01,643950364
2022-12-02,644711955
2022-12-03,645011864
2022-12-04,645269011
2022-12-05,645774500
2022-12-06,646399010
2022-12-07,647032502
2022-12-08,647841604
2022-12-09,648512056
2022-12-10,648786733
2022-12-11,649085967
2022-12-12,649658720
2022-12-13,650436793
2022-12-14,651122541
2022-12-15,651873247
2022-12-16,652605304
2022-12-17,652905777
2022-12-18,653189501
2022-12-19,653775912
2022-12-20,654484792
2022-12-21,655205564
2022-12-22,655963530
